-92.435532,33.820904,"Walmart; #0339,",
-90.793322,35.0289996,"Walmart Supercenter; #0091,","Gas/Diesel,"
-90.7914743,35.0298482,"Murphy: USA; #6523,","Gas/Diesel,"
-94.364871,35.399707,"Walmart Supercenter; #0388,","Gas/Diesel,"
-94.3653183,35.4008408,"Murphy: USA; #7447,","Gas/Diesel,"
-94.407601,35.328885,"Walmart Supercenter; #0125,","Gas,"
-94.37788,35.364696,"Wm Nbrhd Mkt; #2744,",
-94.4092407,35.3291245,"Murphy: USA; #5814,","Gas/Diesel,"
-94.348101,35.349821,"Sam's Club; #8134,","Gas,"
-94.338832,35.349231,"Walmart Supercenter; #0141,","Gas/Diesel,"
-94.339372,35.34797,"Murphy: USA; #7133,","Gas/Diesel,"
-94.392915,35.303397,"Wm Nbrhd Mkt; #4579,",
-92.388518,35.226028,"Wm Nbrhd Mkt; #7317,",
-94.2975616,35.2208099,"Murphy: USA; #6896,","Gas/Diesel,"
-94.2965,35.2207,"Walmart Supercenter; #3231,","Gas/Diesel,"
-93.138559,36.266594,"Walmart Supercenter; #0002,","Gas,"
-93.1385634,36.2667643,"Murphy: USA; #5739,","Gas,"
-93.844546,35.503748,"Walmart Supercenter; #0281,","Gas/Diesel,"
-92.0294143,35.5073994,"Murphy: USA; #6803,","Gas/Diesel,"
-93.614339,33.681734,"Walmart Supercenter; #1065,","Gas/Diesel,"
-93.613533,33.6833303,"Murphy: USA; #6673,","Gas/Diesel,"
-93.056726,34.632255,"Walmart Supercenter; #5433,","Gas/Diesel,"
-93.0615005,34.4562454,"Murphy: USA; #6709,","Gas/Diesel,"
-93.070226,34.469398,"Sam's Club; #4825,","Gas/Diesel,"
-93.039655,34.494125,"Wm Nbrhd Mkt; #5790,",
-93.089252,34.491974,"Walmart Supercenter; #0052,","Gas/Diesel,"
-93.0900726,34.4914932,"Murphy: USA; #7134,","Gas/Diesel,"
-93.141375,34.467676,"Wm Nbrhd Mkt; #5789,",
-93.059162,34.6321202,"Murphy: USA; #7116,","Gas/Diesel,"
-93.061684,34.454755,"Walmart Supercenter; #0261,","Gas/Diesel,"
-93.716824,36.113275,"Walmart Supercenter; #0373,",
-92.111251,34.884897,"Walmart Supercenter; #0024,",
-90.6857529,35.8209152,"Murphy: USA; #5807,","Gas,"
-90.685329,35.820107,"Walmart Supercenter; #0045,","Gas,"
-90.7309509,35.8157368,"Murphy: USA; #7135,","Gas/Diesel,"
-90.732933,35.816092,"Walmart Supercenter; #0128,","Gas/Diesel,"
-90.680091,35.815398,"Sam's Club; #6377,","Gas/Diesel,"
-90.673077,35.825848,"Wm Nbrhd Mkt; #6943,",
-90.698891,35.804458,"Wm Nbrhd Mkt; #6876,",
-92.487347,34.809573,"Walmart Supercenter; #5244,","Gas/Diesel,"
-92.489153,34.8084017,"Murphy: USA; #7102,","Gas/Diesel,"
-92.303559,34.758211,"Wm Nbrhd Mkt; #5666,",
-92.39756,34.728968,"Walmart Supercenter; #0126,",
-92.409598,34.748207,"Walmart Supercenter; #5706,",
-92.376889,34.668366,"Walmart Supercenter; #0124,",
-92.40927,34.74675,"Sam's Club; #8104,","Gas,"
-91.892926,34.805371,"Walmart Supercenter; #0169,",
-93.214938,33.2735552,"Murphy: USA; #6925,","Gas/Diesel,"
-93.214039,33.275921,"Walmart Supercenter; #0083,","Gas/Diesel,"
-92.8298552,34.3910151,"Murphy: USA; #7185,","Gas/Diesel,"
-92.831622,34.390712,"Walmart Supercenter; #0127,","Gas/Diesel,"
-90.189659,35.202749,"Wm Nbrhd Mkt; #4654,",
-91.382601,33.603935,"Walmart; #0289,",
-94.225973,34.587399,"Walmart Supercenter; #0067,","Gas/Diesel,"
-94.22577,34.5863087,"Murphy: USA; #6503,","Gas/Diesel,"
-91.801678,33.6360973,"Murphy: USA; #5735,","Gas,"
-91.803881,33.635713,"Walmart Supercenter; #0348,","Gas,"
-92.7244644,35.1689644,"Murphy: USA; #6535,","Gas/Diesel,"
-92.725648,35.168747,"Walmart Supercenter; #0008,","Gas,"
-92.3411279,36.3572896,"Murphy: USA; #6772,","Gas/Diesel,"
